config,business_category,n_records,mrr,ndcg_at_10,fpr_on_novel,top1_failure_id,top1_failure_idea,top1_failure_score,top2_failure_id,top2_failure_idea,top2_failure_score,top3_failure_id,top3_failure_idea,top3_failure_score,notes
bm25,b2b_saas,11,0.2222,0.2222,1.0000,ev-261,Shopify for B2B wholesale order management at craft breweries,0.9383,ev-084,Fleet management software for autonomous sidewalk delivery robots on hospital campuses,0.9549,ev-001,Spreadsheet copilot that writes formulas and pulls data into your sheets on demand,0.9477,"deterministic-rule-based-v1; n=11 (n_relevant=9, n_novel=2)"
bm25,consumer,18,0.1875,0.2654,1.0000,ev-221,Service that connects retired Tibetan monastery woodcarvers with modern designers,0.9053,ev-165,Subscription box for hand-painted Ukrainian pysanky eggs,0.9073,ev-224,Subscription box for rare heirloom Andean tuber varieties from Peruvian smallholders,0.9087,"deterministic-rule-based-v1; n=18 (n_relevant=4, n_novel=14)"
bm25,devtools,15,0.5167,0.5356,1.0000,ev-232,Uber for on-demand horse logging services in the Carpathians,0.9296,ev-093,"Version-control platform for restaurant recipes, with allergen-aware merges and provenance tracking",0.9396,ev-272,GitHub for legal contract version control with redlining,0.9396,"deterministic-rule-based-v1; n=15 (n_relevant=10, n_novel=5)"
bm25,marketplace,46,0.0000,0.0000,1.0000,ev-072,Uber for matching elderly residents with neighborhood helpers for grocery runs,0.9148,ev-075,Uber for connecting amateur astronomers with rural hosts who have dark-sky properties,0.9148,ev-231,Uber for chartered bush-plane flights in rural Alaska,0.9148,"deterministic-rule-based-v1; n=46 (n_relevant=0, n_novel=46)"
bm25,fintech,23,0.2000,0.2000,1.0000,ev-285,GitHub for actuarial model versioning at life insurance carriers,0.9176,ev-255,Stripe for stablecoin payment routing across chains,0.9291,ev-252,Stripe for marketplace seller payouts with embedded KYC,0.9291,"deterministic-rule-based-v1; n=23 (n_relevant=5, n_novel=18)"
bm25,healthcare,9,0.0000,0.0000,1.0000,ev-262,Calendly for veterinary clinic appointment scheduling,0.9171,ev-280,GitHub for pharmaceutical-formulation versioning with regulatory hooks,0.9238,ev-096,Topic-organized group chat for hospital clinical teams with HIPAA-grade audit trails,0.9342,"deterministic-rule-based-v1; n=9 (n_relevant=3, n_novel=6)"
bm25,education,6,0.0000,0.0000,1.0000,ev-060,Citizen-science app for reporting bird-window collisions to help architects design safer buildings,0.9290,ev-297,On-demand tutoring marketplace using only retired schoolteachers,0.9455,ev-173,Online course teaching classical Ottoman Turkish calligraphy,0.9486,"deterministic-rule-based-v1; n=6 (n_relevant=2, n_novel=4)"
bm25,other,172,0.4523,0.4718,1.0000,ev-197,Subscription for hand-stitched book covers made from recycled denim,0.8957,ev-041,AI tool for composing classical Persian poetry in the style of Hafez and Rumi,0.9026,ev-196,Tool for cataloguing the locations of historic Finnish smoke saunas open to visitors,0.9061,"deterministic-rule-based-v1; n=172 (n_relevant=67, n_novel=105)"
dense_bge_m3,b2b_saas,11,0.2222,0.2222,1.0000,ev-261,Shopify for B2B wholesale order management at craft breweries,0.8333,ev-084,Fleet management software for autonomous sidewalk delivery robots on hospital campuses,0.8474,ev-001,Spreadsheet copilot that writes formulas and pulls data into your sheets on demand,0.8445,"deterministic-rule-based-v1; n=11 (n_relevant=9, n_novel=2)"
dense_bge_m3,consumer,18,0.5000,0.5000,1.0000,ev-224,Subscription box for rare heirloom Andean tuber varieties from Peruvian smallholders,0.7631,ev-221,Service that connects retired Tibetan monastery woodcarvers with modern designers,0.7699,ev-178,Subscription box for artisanal goat cheese from the Pyrenees,0.7755,"deterministic-rule-based-v1; n=18 (n_relevant=4, n_novel=14)"
